"","allsp","","","","","","","","","","","","","","","","","","","","","","","","","abund"
"66","BREYCE","1.04137384904787","1.04206633604556","1.02990659655935","1.0409396532707","1.03933474348526","1.04891460144829","1.0496501655326","1.04723888326128","0.49","0.346","0.408","0.214","0.206","0.092","0.07","0.064","0.660430534490216","0.927499067288251","0.801596786981842","1.22350123123089","1.27006035731767","1.69512819922526","1.81732987762486","1.84704003038778","66"
"67","BRIDMA","0.991249031068347","1.00586997252611","0.988927573603076","0.979933623395049","0.99038013704201","0.993702278523528","0.996749224541679","0.995664224591643","0.866","0.754","0.616","0.252","0.58","0.704","0.868","0.784","-0.225366608886444","0.299109059622982","-0.543241540005474","-1.14394885125817","-0.576088760902848","-0.397048596699049","-0.205725894662115","-0.296339400515697","213"
"68","BUCHAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"69","BUCHMO","0.800690429581248","0.931499960951437","0.982812035765111","1.01072581856471","1.01068189674073","1.03786719456795","1.06409198033921","1.0621633309842","0.232","0.564","0.846","0.93","0.9","0.624","0.37","0.368","-1.22980277319485","-0.637719954290586","-0.225685590758382","0.082987566466806","0.102289957591735","0.477935620561221","0.883277890921964","0.903770717860327","7"
"70","CALDNY","0.826574231248546","0.91924383290296","0.833824378480619","0.829420469821711","0.839503028696469","0.867173815264039","0.891100938059438","0.931969229536212","0.612","0.72","0.26","0.208","0.204","0.242","0.292","0.488","-0.66887193771786","-0.444389186934488","-1.12129114805536","-1.29304424449216","-1.31810751161635","-1.17994505595331","-1.03798931878693","-0.691955090135258","3"
"71","CALLAR","0.789463166432632","0.884910556592955","1.05712786508368","1.0930826897198","1.07422044830827","1.06908012663226","1.06456081026255","1.05161204926047","0.49","0.578","0.642","0.438","0.486","0.488","0.492","0.582","-0.771278379137875","-0.625458788731046","0.374328760086388","0.723463807042587","0.653990762230125","0.658571475789036","0.66141507459053","0.558146999221088","4"
"72","CALLFA","0.901298059942749","0.945236924619096","0.947460323973128","0.934153043678133","0.942042843141284","0.950338135364691","0.946800716721428","0.950680426287468","0.228","0.336","0.31","0.154","0.182","0.232","0.16","0.168","-1.19887360592763","-0.943962251302337","-1.06821356300968","-1.45513758286087","-1.36976213141005","-1.27719997549775","-1.4437681422349","-1.40712260587317","34"
"73","CALLLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"74","CALLPE","1.13720746830695","1.12431294142994","1.11342192767518","1.06463674334399","1.0548781413916","1.0370325185147","1.02873534685487","1.01138029560976","0.078","0.024","0.016","0.114","0.146","0.286","0.368","0.692","1.87345487103536","2.40302684887177","2.55805078507436","1.64988132994278","1.51502976336545","1.09845473100934","0.919870531581677","0.400008142848796","45"
"75","CALLPR","1.17706968657532","1.09777617255638","1.09692977760864","1.10826410014307","1.1020299058328","1.09096226886864","1.07423553889832","1.05839452260963","0.002","0.014","0.006","0.002","0.002","0.002","0.004","0.004","3.4980911338558","2.68046226500899","3.1668187520752","3.88508676768244","3.88971314639031","3.7391020228889","3.27552417053424","2.75871006995695","98"
"76","CALOMU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"77","CALOSO","1.01681700038581","1.02137786408346","1.02858409217605","1.02852633028878","1.02772277148202","1.0260906165921","1.02527927186996","1.0248381511482","0.08","0.002","0.002","0.002","0.002","0.002","0.002","0.002","1.73385701910088","3.21839368137909","5.13034104802327","5.76967512433589","6.02880190472253","6.05849766075577","6.1917506962005","6.40963627091153","2439"
"78","CALYMA","0.996623075117012","1.04636393052762","1.05249653245846","1.05315396536472","1.06577904626646","1.06320780136577","1.05872818026595","1.05746867906026","0.992","0.284","0.172","0.148","0.052","0.06","0.08","0.058","-0.0396827372629913","1.04394315309687","1.33778372459374","1.4928486387687","1.98956904712652","2.02582712621244","2.00370319041257","2.0755798905267","70"
"79","CANAAC","1.07662983849929","1.04205161668994","1.02879208157277","1.02324075904774","1.01875054622198","1.01405163646415","1.01048708397293","1.00882196961385","0.002","0.002","0.002","0.002","0.002","0.004","0.01","0.02","8.45360906525161","6.56633077884481","5.41301609515884","4.86209353533155","4.3070854657124","3.48845151654232","2.73717922997154","2.4375435969105","2713"
"80","CANAAS","0.936214092884861","0.875711446207034","0.908017350947658","0.940843823399196","0.933152857871321","0.938011711023456","0.948274002792599","0.94489542785204","0.692","0.198","0.264","0.424","0.326","0.316","0.396","0.34","-0.453774244452992","-1.26189410968647","-1.08262507275273","-0.770008208158824","-0.944537384644968","-0.948789033303976","-0.839504748691374","-0.932526190468224","11"
"81","CANAHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"82","CANAIN","0.996437982285337","1.00107836955647","0.996981081751305","0.996532018744681","0.99888979742527","0.9992341758741","1.00066321786823","1.00154207858415","0.856","0.932","0.802","0.706","0.92","0.908","0.936","0.802","-0.201480545709669","0.0758909532793777","-0.264599667207181","-0.354173337976928","-0.127156338054053","-0.102850493770311","0.0847991215863965","0.221822105163543","706"
